,p_value_ALL,p_value_AML
266,0.558064516,0.470967742
267,0.558064516,0.470967742
268,0.558064516,0.470967742
269,0.558064516,0.470967742
270,0.558064516,0.470967742
271,0.558064516,0.470967742
272,0.558064516,0.470967742
273,0.558064516,0.470967742
274,0.558064516,0.470967742
275,0.558064516,0.470967742
276,0.558064516,0.470967742
277,0.558064516,0.529032258
278,0.558064516,0.470967742
279,0.558064516,0.470967742
280,0.558064516,0.470967742
281,0.558064516,0.470967742
282,0.558064516,0.470967742
283,0.558064516,0.470967742
284,0.558064516,0.470967742
285,0.558064516,0.470967742
286,0.441935484,0.529032258
287,0.558064516,0.470967742
288,0.558064516,0.470967742
289,0.558064516,0.470967742
290,0.558064516,0.470967742
291,0.558064516,0.470967742
292,0.558064516,0.470967742
293,0.558064516,0.470967742
294,0.558064516,0.470967742
295,0.558064516,0.470967742
296,0.558064516,0.470967742
297,0.558064516,0.470967742
298,0.558064516,0.470967742
299,0.558064516,0.470967742
300,0.558064516,0.470967742
301,0.558064516,0.470967742
302,0.558064516,0.470967742
303,0.558064516,0.470967742
304,0.558064516,0.470967742
305,0.558064516,0.470967742
306,0.441935484,0.529032258
307,0.558064516,0.470967742
308,0.558064516,0.470967742
309,0.558064516,0.470967742
